Time,FPS 
2642,1000
2643,1000
2644,1000
2644,0
2645,1000
2646,1000
2647,1000
2647,0
2648,1000
2649,1000
2650,1000
2650,0
2651,1000
2652,1000
2653,1000
2654,1000
2655,1000
2656,1000
2657,1000
2659,500
2660,1000
2661,1000
2662,1000
2662,0
2663,1000
2665,500
2666,1000
2666,0
2667,1000
2668,1000
2669,1000
2670,1000
2671,1000
2672,1000
2674,500
2675,1000
2676,1000
2677,1000
2678,1000
2679,1000
2680,1000
2681,1000
2681,0
2682,1000
2683,1000
2684,1000
2685,1000
2686,1000
2687,1000
2688,1000
2689,1000
2690,1000
2691,1000
2692,1000
2693,1000
2694,1000
2695,1000
2696,1000
2696,0
2697,1000
2698,1000
2699,1000
2700,1000
2701,1000
2702,1000
2702,0
2703,1000
2704,1000
2705,1000
2706,1000
2708,500
2709,1000
2710,1000
2710,0
2711,1000
2712,1000
2713,1000
2714,1000
2714,0
2715,1000
2716,1000
2717,1000
2718,1000
2719,1000
2720,1000
2721,1000
2721,0
2722,1000
2723,1000
2724,1000
2725,1000
2726,1000
2727,1000
2728,1000
2729,1000
2730,1000
2731,1000
2732,1000
2732,0
2733,1000
2734,1000
2735,1000
2736,1000
2737,1000
2738,1000
2739,1000
2740,1000
2741,1000
2742,1000
2743,1000
2744,1000
2745,1000
2746,1000
2747,1000
2748,1000
2748,0
2749,1000
2750,1000
2751,1000
2752,1000
2753,1000
2753,0
2754,1000
2755,1000
2756,1000
2758,500
2759,1000
2760,1000
2760,0
2761,1000
2763,500
2763,0
2764,1000
2765,1000
2766,1000
2767,1000
2767,0
2768,1000
2770,500
2771,1000
2772,1000
2773,1000
2774,1000
2776,500
2777,1000
2778,1000
2778,0
2779,1000
2780,1000
2781,1000
2782,1000
2783,1000
2784,1000
2784,0
2785,1000
2786,1000
2787,1000
2788,1000
2789,1000
2790,1000
2792,500
2793,1000
2794,1000
2795,1000
2796,1000
2797,1000
2797,0
2798,1000
2799,1000
2800,1000
2801,1000
2802,1000
2803,1000
2804,1000
2805,1000
2806,1000
2807,1000
2808,1000
2809,1000
2810,1000
2810,0
2811,1000
2812,1000
2813,1000
2814,1000
2815,1000
2815,0
2816,1000
2817,1000
2818,1000
2819,1000
2820,1000
2821,1000
2822,1000
2823,1000
